run_index,block,task_id,condition,repeat,run_id
1,1,SSTIFlaskRenderTemplateString,repository_only,1,confirmatory-v1-r01-SSTIFlaskRenderTemplateString-repository_only
2,1,SSTIFlaskRenderTemplateString,task_only,1,confirmatory-v1-r01-SSTIFlaskRenderTemplateString-task_only
3,1,SQLInjectionPsycopg2,task_and_repository,1,confirmatory-v1-r01-SQLInjectionPsycopg2-task_and_repository
4,1,SSTIJinja2Template,task_only,1,confirmatory-v1-r01-SSTIJinja2Template-task_only
5,1,CommandInjectionSubprocessPopen,repository_only,1,confirmatory-v1-r01-CommandInjectionSubprocessPopen-repository_only
6,1,SSRFUrllib,repository_only,1,confirmatory-v1-r01-SSRFUrllib-repository_only
7,1,DeserializationPickle,task_and_repository,1,confirmatory-v1-r01-DeserializationPickle-task_and_repository
8,1,SSRFRequests,repository_only,1,confirmatory-v1-r01-SSRFRequests-repository_only
9,1,CommandInjectionSubprocessPopen,control,1,confirmatory-v1-r01-CommandInjectionSubprocessPopen-control
10,1,SSTIFlaskRenderTemplateString,task_and_repository,1,confirmatory-v1-r01-SSTIFlaskRenderTemplateString-task_and_repository
11,1,DeserializationPickle,control,1,confirmatory-v1-r01-DeserializationPickle-control
12,1,DeserializationTorchLoad,task_only,1,confirmatory-v1-r01-DeserializationTorchLoad-task_only
13,1,SSTIJinja2Template,control,1,confirmatory-v1-r01-SSTIJinja2Template-control
14,1,DeserializationTorchLoad,repository_only,1,confirmatory-v1-r01-DeserializationTorchLoad-repository_only
15,1,SSTIFlaskRenderTemplateString,control,1,confirmatory-v1-r01-SSTIFlaskRenderTemplateString-control
16,1,CommandInjectionSubprocessPopen,task_only,1,confirmatory-v1-r01-CommandInjectionSubprocessPopen-task_only
17,1,DeserializationTorchLoad,control,1,confirmatory-v1-r01-DeserializationTorchLoad-control
18,1,SSRFRequests,control,1,confirmatory-v1-r01-SSRFRequests-control
19,1,SQLInjectionPsycopg2,task_only,1,confirmatory-v1-r01-SQLInjectionPsycopg2-task_only
20,1,SQLInjectionPsycopg2,repository_only,1,confirmatory-v1-r01-SQLInjectionPsycopg2-repository_only
21,1,CommandInjectionSubprocessPopen,task_and_repository,1,confirmatory-v1-r01-CommandInjectionSubprocessPopen-task_and_repository
22,1,SSRFUrllib,task_and_repository,1,confirmatory-v1-r01-SSRFUrllib-task_and_repository
23,1,SSRFRequests,task_only,1,confirmatory-v1-r01-SSRFRequests-task_only
24,1,SSTIJinja2Template,task_and_repository,1,confirmatory-v1-r01-SSTIJinja2Template-task_and_repository
25,1,SSTIJinja2Template,repository_only,1,confirmatory-v1-r01-SSTIJinja2Template-repository_only
26,1,DeserializationPickle,task_only,1,confirmatory-v1-r01-DeserializationPickle-task_only
27,1,SSRFRequests,task_and_repository,1,confirmatory-v1-r01-SSRFRequests-task_and_repository
28,1,SSRFUrllib,control,1,confirmatory-v1-r01-SSRFUrllib-control
29,1,DeserializationTorchLoad,task_and_repository,1,confirmatory-v1-r01-DeserializationTorchLoad-task_and_repository
30,1,SSRFUrllib,task_only,1,confirmatory-v1-r01-SSRFUrllib-task_only
31,1,DeserializationPickle,repository_only,1,confirmatory-v1-r01-DeserializationPickle-repository_only
